"esp","col","medias","std"
"setosa","Sepal.Length",5.006,0.352489687213451
"versicolor","Sepal.Length",5.936,0.516171147063863
"virginica","Sepal.Length",6.588,0.635879593274432
"setosa","Sepal.Width",3.428,0.379064369096289
"versicolor","Sepal.Width",2.77,0.313798323378411
"virginica","Sepal.Width",2.974,0.322496638172637
"setosa","Petal.Length",1.462,0.173663996480184
"versicolor","Petal.Length",4.26,0.469910977239958
"virginica","Petal.Length",5.552,0.551894695663983
"setosa","Petal.Width",0.246,0.105385589380046
"versicolor","Petal.Width",1.326,0.197752680004544
"virginica","Petal.Width",2.026,0.274650055636667
